"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.","Indicator","Description","SubBorough","2006","2007","2008","2009"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","South Shore","899","948","957","999"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Stuyvesant Town/Turtle Bay","1524","1685","1743","1849"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Sunnyside/Woodside","990","1070","1056","1137"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Sunset Park","873","886","952","995"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Throgs Neck/Co-op City","821","826","905","892"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","University Heights/Fordham","718","737","773","813"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Upper East Side","1531","1666","1724","1706"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Upper West Side","1269","1387","1403","1635"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Washington Heights/Inwood","731","788","824","874"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Williamsbridge/Baychester","824","883","924","950"
,"Median Monthly Contract Rent","Median monthly contract rent, which is the rent specified in the lease even if furnishings, utilities, or services are included.  This is not adjusted for inflation, and includes units subject to rent regulation. <i>Source: American Community Survey </i>","Williamsburg/Greenpoint","719","882","870","959"
